item_cause,item_effect,best_lag,p_value,is_causal,fdr_rejected,fdr_threshold
QRKRBYJL,DJBLNPNC,3.0,7.626757078513772e-05,True,True,0.012865497076023392
QSDCUCLB,DJBLNPNC,6.0,0.00011836223714546219,True,True,0.012865497076023392
XUOIQPFL,UGEQLMXM,1.0,0.0001257708789869182,True,True,0.012865497076023392
QSDCUCLB,UGEQLMXM,2.0,0.00013080529701273567,True,True,0.012865497076023392
ATLDMDBO,IGDVVKUD,2.0,0.00013855208913025156,True,True,0.012865497076023392
UGEQLMXM,VBYCLTYZ,3.0,0.00015205419290827802,True,True,0.012865497076023392
UGEQLMXM,SDWAYPIK,3.0,0.00015546808890141425,True,True,0.012865497076023392
RJCAXSGH,VBYCLTYZ,6.0,0.00016412768375928413,True,True,0.012865497076023392
KFQSHBNH,VBYCLTYZ,6.0,0.00016412768375928495,True,True,0.012865497076023392
UGEQLMXM,ATLDMDBO,5.0,0.00017276051460856447,True,True,0.012865497076023392
IGDVVKUD,VBYCLTYZ,4.0,0.00017296519139183887,True,True,0.012865497076023392
QRKRBYJL,FDXPMYGF,6.0,0.00027246618352111266,True,True,0.012865497076023392
IGDVVKUD,ATLDMDBO,5.0,0.0002817674542929661,True,True,0.012865497076023392
XIIEJNEE,ATLDMDBO,5.0,0.00030612612060398377,True,True,0.012865497076023392
QSDCUCLB,VBYCLTYZ,3.0,0.0003197153403142647,True,True,0.012865497076023392
IGDVVKUD,BSRMSVTC,6.0,0.00033925958749134514,True,True,0.012865497076023392
XUOIQPFL,IGDVVKUD,2.0,0.00035262743313119356,True,True,0.012865497076023392
SDWAYPIK,IGDVVKUD,2.0,0.00041704467092181045,True,True,0.012865497076023392
XUOIQPFL,QSDCUCLB,1.0,0.0004474975089913923,True,True,0.012865497076023392
JSLXRQOK,XIIEJNEE,3.0,0.0005349761979966778,True,True,0.012865497076023392
QRKRBYJL,ATLDMDBO,1.0,0.0009449109910113428,True,True,0.012865497076023392
SDWAYPIK,UGEQLMXM,1.0,0.0011806239581941898,True,True,0.012865497076023392
ATLDMDBO,DNMPSKTB,6.0,0.001181830050973659,True,True,0.012865497076023392
VBYCLTYZ,ATLDMDBO,4.0,0.0012271473765125055,True,True,0.012865497076023392
DNMPSKTB,UGEQLMXM,1.0,0.0014719001032067077,True,True,0.012865497076023392
LLHREMKS,UGEQLMXM,5.0,0.0019450513279718987,True,True,0.012865497076023392
UGEQLMXM,IGDVVKUD,5.0,0.0021669883400748033,True,True,0.012865497076023392
UGEQLMXM,XIIEJNEE,2.0,0.002403593679133683,True,True,0.012865497076023392
LLHREMKS,VBYCLTYZ,6.0,0.0024232541710149714,True,True,0.012865497076023392
DNMPSKTB,IGDVVKUD,3.0,0.0025890649041963453,True,True,0.012865497076023392
DNMPSKTB,QRKRBYJL,1.0,0.0026828099327180243,True,True,0.012865497076023392
UGEQLMXM,QRKRBYJL,4.0,0.003128097226074972,True,True,0.012865497076023392
DNMPSKTB,QSDCUCLB,1.0,0.0032558072967303195,True,True,0.012865497076023392
XUOIQPFL,SDWAYPIK,5.0,0.004114044050942921,True,True,0.012865497076023392
QSDCUCLB,QRKRBYJL,3.0,0.004747228835864317,True,True,0.012865497076023392
XUOIQPFL,VBYCLTYZ,2.0,0.004978925384569565,True,True,0.012865497076023392
DNMPSKTB,DJBLNPNC,5.0,0.005438710645882844,True,True,0.012865497076023392
DNMPSKTB,XIIEJNEE,2.0,0.005871230679633069,True,True,0.012865497076023392
BSRMSVTC,QSDCUCLB,5.0,0.006202183782054391,True,True,0.012865497076023392
FDXPMYGF,DNMPSKTB,6.0,0.0062847993761670495,True,True,0.012865497076023392
SDWAYPIK,ATLDMDBO,1.0,0.006454035257379235,True,True,0.012865497076023392
BSRMSVTC,XUOIQPFL,2.0,0.006659008625807746,True,True,0.012865497076023392
ATLDMDBO,FDXPMYGF,5.0,0.006681386703402852,True,True,0.012865497076023392
XIIEJNEE,SDWAYPIK,3.0,0.006803282401548756,True,True,0.012865497076023392
KFQSHBNH,XIIEJNEE,3.0,0.007264611033369932,True,True,0.012865497076023392
DJBLNPNC,DNMPSKTB,5.0,0.007712313398150037,True,True,0.012865497076023392
IGDVVKUD,XUOIQPFL,5.0,0.007943754689709343,True,True,0.012865497076023392
XUOIQPFL,QRKRBYJL,5.0,0.008945856881191788,True,True,0.012865497076023392
XIIEJNEE,DNMPSKTB,3.0,0.009145195099884929,True,True,0.012865497076023392
QRKRBYJL,DNMPSKTB,6.0,0.01083772277466591,True,True,0.012865497076023392
VBYCLTYZ,QRKRBYJL,5.0,0.010842142061571594,True,True,0.012865497076023392
VBYCLTYZ,SDWAYPIK,1.0,0.011022945090465915,True,True,0.012865497076023392
ATLDMDBO,UGEQLMXM,2.0,0.011496313756731257,True,True,0.012865497076023392
QRKRBYJL,VBYCLTYZ,3.0,0.012299407313562346,True,True,0.012865497076023392
JSLXRQOK,DJBLNPNC,3.0,0.014322911387553934,True,False,0.012865497076023392
DNMPSKTB,BSRMSVTC,5.0,0.014463391094494248,True,False,0.012865497076023392
LLHREMKS,XIIEJNEE,4.0,0.01591079439354647,True,False,0.012865497076023392
MIRCVAMV,SDWAYPIK,2.0,0.016580259948193763,True,False,0.012865497076023392
QRKRBYJL,UGEQLMXM,1.0,0.018188446052078665,True,False,0.012865497076023392
XIIEJNEE,XUOIQPFL,1.0,0.01828114469979469,True,False,0.012865497076023392
SDWAYPIK,XUOIQPFL,1.0,0.01884317904906293,True,False,0.012865497076023392
DNMPSKTB,SDWAYPIK,1.0,0.019922526006534838,True,False,0.012865497076023392
VBYCLTYZ,XUOIQPFL,2.0,0.020717181191764137,True,False,0.012865497076023392
QSDCUCLB,DNMPSKTB,3.0,0.0207701132637523,True,False,0.012865497076023392
ATLDMDBO,VBYCLTYZ,1.0,0.020788179477423157,True,False,0.012865497076023392
QRKRBYJL,SDWAYPIK,1.0,0.021110977397506465,True,False,0.012865497076023392
QSDCUCLB,ATLDMDBO,6.0,0.02172410543075717,True,False,0.012865497076023392
KFQSHBNH,UGEQLMXM,5.0,0.023665238233926654,True,False,0.012865497076023392
UGEQLMXM,FDXPMYGF,6.0,0.023665332490235724,True,False,0.012865497076023392
QRKRBYJL,BSRMSVTC,5.0,0.025600738644825483,True,False,0.012865497076023392
SDWAYPIK,QSDCUCLB,1.0,0.02609159457292482,True,False,0.012865497076023392
VBYCLTYZ,DNMPSKTB,6.0,0.026095920172149133,True,False,0.012865497076023392
RJCAXSGH,XIIEJNEE,5.0,0.02610347102663799,True,False,0.012865497076023392
FDXPMYGF,XUOIQPFL,1.0,0.02616411053007033,True,False,0.012865497076023392
RUVXNNVA,XIIEJNEE,5.0,0.02741634391715264,True,False,0.012865497076023392
SDWAYPIK,DNMPSKTB,6.0,0.02748146829371366,True,False,0.012865497076023392
SDWAYPIK,DJBLNPNC,2.0,0.028099184256848746,True,False,0.012865497076023392
QSDCUCLB,SDWAYPIK,4.0,0.028942327252121303,True,False,0.012865497076023392
ATLDMDBO,XIIEJNEE,2.0,0.030283396271829365,True,False,0.012865497076023392
RJCAXSGH,UGEQLMXM,6.0,0.03427531308552014,True,False,0.012865497076023392
ATLDMDBO,SDWAYPIK,1.0,0.03443130036677572,True,False,0.012865497076023392
BSRMSVTC,DNMPSKTB,6.0,0.03577486977593263,True,False,0.012865497076023392
DNMPSKTB,VBYCLTYZ,2.0,0.03745892159894217,True,False,0.012865497076023392
RUVXNNVA,UGEQLMXM,6.0,0.03935075174133113,True,False,0.012865497076023392
IGDVVKUD,SDWAYPIK,3.0,0.03973509629346632,True,False,0.012865497076023392
SDWAYPIK,XIIEJNEE,1.0,0.041831028727627326,True,False,0.012865497076023392
DJBLNPNC,QRKRBYJL,1.0,0.04315466006028199,True,False,0.012865497076023392
DNMPSKTB,FDXPMYGF,5.0,0.05052474649180869,False,False,0.012865497076023392
UGEQLMXM,DNMPSKTB,5.0,0.05330682377273608,False,False,0.012865497076023392
RUVXNNVA,VBYCLTYZ,6.0,0.06169095301470025,False,False,0.012865497076023392
XUOIQPFL,DJBLNPNC,5.0,0.061819429868240246,False,False,0.012865497076023392
BSRMSVTC,FDXPMYGF,1.0,0.06271260825257075,False,False,0.012865497076023392
SDWAYPIK,VBYCLTYZ,2.0,0.06450515905459431,False,False,0.012865497076023392
SDWAYPIK,JSLXRQOK,6.0,0.06783034384015293,False,False,0.012865497076023392
ATLDMDBO,XUOIQPFL,2.0,0.06802241695798718,False,False,0.012865497076023392
IGDVVKUD,FDXPMYGF,4.0,0.07105028806012219,False,False,0.012865497076023392
MIRCVAMV,QSDCUCLB,5.0,0.07323465360203137,False,False,0.012865497076023392
VBYCLTYZ,XIIEJNEE,2.0,0.07692612967501425,False,False,0.012865497076023392
QRKRBYJL,XUOIQPFL,6.0,0.07700840114591384,False,False,0.012865497076023392
VBYCLTYZ,UGEQLMXM,4.0,0.07964643104524866,False,False,0.012865497076023392
ATLDMDBO,QSDCUCLB,5.0,0.08207021771652907,False,False,0.012865497076023392
QSDCUCLB,JSLXRQOK,6.0,0.08993745406762317,False,False,0.012865497076023392
FDXPMYGF,SDWAYPIK,6.0,0.10094825162502016,False,False,0.012865497076023392
LLHREMKS,RJCAXSGH,1.0,0.10323942894041953,False,False,0.012865497076023392
FDXPMYGF,UGEQLMXM,4.0,0.10380663017901448,False,False,0.012865497076023392
QRKRBYJL,XIIEJNEE,5.0,0.10417483371474318,False,False,0.012865497076023392
KFQSHBNH,XUOIQPFL,1.0,0.11033696667590961,False,False,0.012865497076023392
DNMPSKTB,XUOIQPFL,3.0,0.11378163451709218,False,False,0.012865497076023392
BSRMSVTC,VBYCLTYZ,1.0,0.1171241827776546,False,False,0.012865497076023392
DNMPSKTB,ATLDMDBO,3.0,0.12351177414734034,False,False,0.012865497076023392
DJBLNPNC,SDWAYPIK,1.0,0.12800709089520895,False,False,0.012865497076023392
DNMPSKTB,RJCAXSGH,1.0,0.13266215111600108,False,False,0.012865497076023392
FDXPMYGF,ATLDMDBO,6.0,0.13406240342937906,False,False,0.012865497076023392
XIIEJNEE,UGEQLMXM,1.0,0.13419009909283,False,False,0.012865497076023392
QSDCUCLB,XUOIQPFL,2.0,0.14015319243938731,False,False,0.012865497076023392
JSLXRQOK,ATLDMDBO,2.0,0.14411770690092254,False,False,0.012865497076023392
BSRMSVTC,MIRCVAMV,1.0,0.14487187352241085,False,False,0.012865497076023392
BSRMSVTC,SDWAYPIK,6.0,0.14683073611188252,False,False,0.012865497076023392
ATLDMDBO,BSRMSVTC,6.0,0.15834073483233135,False,False,0.012865497076023392
SDWAYPIK,FDXPMYGF,5.0,0.16030436998483194,False,False,0.012865497076023392
UGEQLMXM,XUOIQPFL,1.0,0.1611566198587748,False,False,0.012865497076023392
DJBLNPNC,RUVXNNVA,1.0,0.16279791223328985,False,False,0.012865497076023392
XUOIQPFL,JSLXRQOK,3.0,0.1733408111902999,False,False,0.012865497076023392
XIIEJNEE,JSLXRQOK,2.0,0.18350975989971952,False,False,0.012865497076023392
IGDVVKUD,UGEQLMXM,1.0,0.18826994910421352,False,False,0.012865497076023392
KFQSHBNH,RJCAXSGH,3.0,0.1942561132382183,False,False,0.012865497076023392
RJCAXSGH,XUOIQPFL,1.0,0.1975334374415359,False,False,0.012865497076023392
DJBLNPNC,UGEQLMXM,4.0,0.2036120641140986,False,False,0.012865497076023392
BSRMSVTC,JSLXRQOK,1.0,0.22497955901927513,False,False,0.012865497076023392
SDWAYPIK,KFQSHBNH,1.0,0.23454024166708376,False,False,0.012865497076023392
VBYCLTYZ,RJCAXSGH,2.0,0.24115123397054405,False,False,0.012865497076023392
SDWAYPIK,RJCAXSGH,1.0,0.2492346373306301,False,False,0.012865497076023392
XUOIQPFL,RUVXNNVA,1.0,0.2522490138875203,False,False,0.012865497076023392
LLHREMKS,QRKRBYJL,1.0,0.25604812042430897,False,False,0.012865497076023392
XUOIQPFL,DNMPSKTB,1.0,0.25677928432346314,False,False,0.012865497076023392
BSRMSVTC,QRKRBYJL,6.0,0.25683236336514764,False,False,0.012865497076023392
FDXPMYGF,QSDCUCLB,6.0,0.2792742140145888,False,False,0.012865497076023392
RUVXNNVA,QRKRBYJL,1.0,0.2819799834052121,False,False,0.012865497076023392
BSRMSVTC,UGEQLMXM,6.0,0.2853160727042162,False,False,0.012865497076023392
ATLDMDBO,RUVXNNVA,1.0,0.2889249697611339,False,False,0.012865497076023392
RJCAXSGH,LLHREMKS,5.0,0.2910667266595914,False,False,0.012865497076023392
DJBLNPNC,ATLDMDBO,2.0,0.291823177124614,False,False,0.012865497076023392
SDWAYPIK,BSRMSVTC,1.0,0.29680119033440217,False,False,0.012865497076023392
XUOIQPFL,BSRMSVTC,2.0,0.29759336695738137,False,False,0.012865497076023392
VBYCLTYZ,KFQSHBNH,3.0,0.3116903744004904,False,False,0.012865497076023392
MIRCVAMV,JSLXRQOK,1.0,0.31212458416692296,False,False,0.012865497076023392
RJCAXSGH,BSRMSVTC,1.0,0.31429697280813274,False,False,0.012865497076023392
DNMPSKTB,KFQSHBNH,1.0,0.3161488182541216,False,False,0.012865497076023392
XUOIQPFL,FDXPMYGF,5.0,0.32291964146793023,False,False,0.012865497076023392
RUVXNNVA,ATLDMDBO,2.0,0.3370443228624628,False,False,0.012865497076023392
KFQSHBNH,DNMPSKTB,1.0,0.3396696464390865,False,False,0.012865497076023392
XUOIQPFL,ATLDMDBO,1.0,0.33976971874164086,False,False,0.012865497076023392
SDWAYPIK,QRKRBYJL,1.0,0.3411443219371252,False,False,0.012865497076023392
BSRMSVTC,LLHREMKS,1.0,0.34278698381684414,False,False,0.012865497076023392
XUOIQPFL,RJCAXSGH,1.0,0.3572784691749882,False,False,0.012865497076023392
KFQSHBNH,BSRMSVTC,1.0,0.3704961786919764,False,False,0.012865497076023392
VBYCLTYZ,RUVXNNVA,1.0,0.3755337103190446,False,False,0.012865497076023392
LLHREMKS,ATLDMDBO,2.0,0.37995602308328175,False,False,0.012865497076023392
DNMPSKTB,RUVXNNVA,1.0,0.3862196034931543,False,False,0.012865497076023392
DJBLNPNC,RJCAXSGH,2.0,0.3880710674009472,False,False,0.012865497076023392
UGEQLMXM,QSDCUCLB,1.0,0.3902506000753818,False,False,0.012865497076023392
RUVXNNVA,JSLXRQOK,1.0,0.4007195776588519,False,False,0.012865497076023392
QRKRBYJL,LLHREMKS,4.0,0.40294731019713115,False,False,0.012865497076023392
FDXPMYGF,QRKRBYJL,5.0,0.4031808409289541,False,False,0.012865497076023392
DJBLNPNC,VBYCLTYZ,6.0,0.4045155616922179,False,False,0.012865497076023392
LLHREMKS,XUOIQPFL,2.0,0.4087784132178016,False,False,0.012865497076023392
KFQSHBNH,LLHREMKS,6.0,0.40945275503005596,False,False,0.012865497076023392
DNMPSKTB,MIRCVAMV,3.0,0.41148399141080305,False,False,0.012865497076023392
XUOIQPFL,MIRCVAMV,4.0,0.41349480902807134,False,False,0.012865497076023392
UGEQLMXM,MIRCVAMV,1.0,0.4179420634314934,False,False,0.012865497076023392
MIRCVAMV,DNMPSKTB,1.0,0.4202484875281878,False,False,0.012865497076023392
VBYCLTYZ,QSDCUCLB,1.0,0.42175143780780855,False,False,0.012865497076023392
JSLXRQOK,QSDCUCLB,1.0,0.42389509703558825,False,False,0.012865497076023392
RJCAXSGH,SDWAYPIK,1.0,0.42478997657634654,False,False,0.012865497076023392
LLHREMKS,BSRMSVTC,1.0,0.4267158740144029,False,False,0.012865497076023392
MIRCVAMV,VBYCLTYZ,1.0,0.4288986755098394,False,False,0.012865497076023392
XUOIQPFL,KFQSHBNH,1.0,0.43406952787926334,False,False,0.012865497076023392
SDWAYPIK,LLHREMKS,4.0,0.43548590520122776,False,False,0.012865497076023392
VBYCLTYZ,LLHREMKS,2.0,0.43916653967269237,False,False,0.012865497076023392
QSDCUCLB,MIRCVAMV,1.0,0.4393742860390598,False,False,0.012865497076023392
MIRCVAMV,ATLDMDBO,3.0,0.4434846229026359,False,False,0.012865497076023392
QRKRBYJL,KFQSHBNH,2.0,0.44799113745147645,False,False,0.012865497076023392
QRKRBYJL,RJCAXSGH,1.0,0.452781541789532,False,False,0.012865497076023392
JSLXRQOK,FDXPMYGF,6.0,0.45613837121661693,False,False,0.012865497076023392
ATLDMDBO,MIRCVAMV,1.0,0.4580852727958308,False,False,0.012865497076023392
MIRCVAMV,XUOIQPFL,5.0,0.4618780384405555,False,False,0.012865497076023392
RJCAXSGH,QSDCUCLB,1.0,0.46541282435811326,False,False,0.012865497076023392
KFQSHBNH,SDWAYPIK,1.0,0.4674611348427262,False,False,0.012865497076023392
LLHREMKS,IGDVVKUD,1.0,0.46970444027091596,False,False,0.012865497076023392
RUVXNNVA,SDWAYPIK,1.0,0.4701106228440777,False,False,0.012865497076023392
DJBLNPNC,LLHREMKS,2.0,0.4711384928015344,False,False,0.012865497076023392
LLHREMKS,DJBLNPNC,1.0,0.4731229165169951,False,False,0.012865497076023392
MIRCVAMV,BSRMSVTC,3.0,0.4754383761462203,False,False,0.012865497076023392
ATLDMDBO,KFQSHBNH,2.0,0.47855962566679466,False,False,0.012865497076023392
MIRCVAMV,RUVXNNVA,1.0,0.47947998555005666,False,False,0.012865497076023392
SDWAYPIK,RUVXNNVA,6.0,0.4796980729410599,False,False,0.012865497076023392
UGEQLMXM,JSLXRQOK,5.0,0.4810751333452097,False,False,0.012865497076023392
DJBLNPNC,XUOIQPFL,6.0,0.48572867094345373,False,False,0.012865497076023392
BSRMSVTC,RJCAXSGH,1.0,0.4861319926796054,False,False,0.012865497076023392
JSLXRQOK,SDWAYPIK,1.0,0.4889698820653946,False,False,0.012865497076023392
JSLXRQOK,VBYCLTYZ,6.0,0.4965633076306153,False,False,0.012865497076023392
JSLXRQOK,IGDVVKUD,3.0,0.5000782764433881,False,False,0.012865497076023392
BSRMSVTC,XIIEJNEE,2.0,0.5024093494265092,False,False,0.012865497076023392
MIRCVAMV,FDXPMYGF,1.0,0.5036609954007849,False,False,0.012865497076023392
JSLXRQOK,QRKRBYJL,6.0,0.5098327743187246,False,False,0.012865497076023392
SDWAYPIK,MIRCVAMV,3.0,0.5109119413187178,False,False,0.012865497076023392
UGEQLMXM,BSRMSVTC,4.0,0.5109886515102524,False,False,0.012865497076023392
KFQSHBNH,QSDCUCLB,1.0,0.5152521822458054,False,False,0.012865497076023392
IGDVVKUD,LLHREMKS,1.0,0.5308667433557382,False,False,0.012865497076023392
RJCAXSGH,DNMPSKTB,1.0,0.53453103191168,False,False,0.012865497076023392
RJCAXSGH,ATLDMDBO,1.0,0.5369778116820623,False,False,0.012865497076023392
KFQSHBNH,QRKRBYJL,6.0,0.5429265674866437,False,False,0.012865497076023392
RJCAXSGH,QRKRBYJL,6.0,0.5429265674866437,False,False,0.012865497076023392
UGEQLMXM,LLHREMKS,2.0,0.5443114609399807,False,False,0.012865497076023392
IGDVVKUD,JSLXRQOK,2.0,0.54496519513645,False,False,0.012865497076023392
ATLDMDBO,LLHREMKS,4.0,0.5462243857923811,False,False,0.012865497076023392
UGEQLMXM,RUVXNNVA,1.0,0.5462292332204415,False,False,0.012865497076023392
QRKRBYJL,QSDCUCLB,1.0,0.5493092327200353,False,False,0.012865497076023392
FDXPMYGF,VBYCLTYZ,2.0,0.5554250309377491,False,False,0.012865497076023392
RUVXNNVA,FDXPMYGF,1.0,0.5594313078773343,False,False,0.012865497076023392
FDXPMYGF,RJCAXSGH,1.0,0.5685501278070755,False,False,0.012865497076023392
IGDVVKUD,QSDCUCLB,1.0,0.5719414402118528,False,False,0.012865497076023392
FDXPMYGF,IGDVVKUD,1.0,0.5731137712410224,False,False,0.012865497076023392
ATLDMDBO,RJCAXSGH,1.0,0.5738930268252058,False,False,0.012865497076023392
LLHREMKS,SDWAYPIK,1.0,0.5740462022392434,False,False,0.012865497076023392
RJCAXSGH,RUVXNNVA,1.0,0.5771772209268887,False,False,0.012865497076023392
JSLXRQOK,MIRCVAMV,1.0,0.5794517978235405,False,False,0.012865497076023392
RJCAXSGH,DJBLNPNC,1.0,0.5824931759544294,False,False,0.012865497076023392
KFQSHBNH,IGDVVKUD,4.0,0.5827563012506463,False,False,0.012865497076023392
QRKRBYJL,MIRCVAMV,1.0,0.5886704344419585,False,False,0.012865497076023392
XIIEJNEE,QSDCUCLB,1.0,0.5905282031084969,False,False,0.012865497076023392
BSRMSVTC,ATLDMDBO,3.0,0.6013569787923094,False,False,0.012865497076023392
KFQSHBNH,RUVXNNVA,1.0,0.6128285440902153,False,False,0.012865497076023392
LLHREMKS,QSDCUCLB,1.0,0.6131758853446094,False,False,0.012865497076023392
BSRMSVTC,DJBLNPNC,1.0,0.6211765133843481,False,False,0.012865497076023392
DJBLNPNC,QSDCUCLB,1.0,0.6242734584343508,False,False,0.012865497076023392
DJBLNPNC,MIRCVAMV,3.0,0.6244315922934938,False,False,0.012865497076023392
JSLXRQOK,DNMPSKTB,1.0,0.6285286024612917,False,False,0.012865497076023392
KFQSHBNH,DJBLNPNC,1.0,0.6300793267232886,False,False,0.012865497076023392
UGEQLMXM,RJCAXSGH,2.0,0.63156410061656,False,False,0.012865497076023392
VBYCLTYZ,JSLXRQOK,2.0,0.6330896567332085,False,False,0.012865497076023392
MIRCVAMV,DJBLNPNC,2.0,0.6347032674873136,False,False,0.012865497076023392
DNMPSKTB,LLHREMKS,2.0,0.6362247580992857,False,False,0.012865497076023392
KFQSHBNH,ATLDMDBO,3.0,0.6377404090230252,False,False,0.012865497076023392
DJBLNPNC,JSLXRQOK,1.0,0.6415642667296748,False,False,0.012865497076023392
MIRCVAMV,RJCAXSGH,1.0,0.6429526391800053,False,False,0.012865497076023392
KFQSHBNH,JSLXRQOK,1.0,0.6600964415083552,False,False,0.012865497076023392
IGDVVKUD,XIIEJNEE,1.0,0.6611186612644925,False,False,0.012865497076023392
QSDCUCLB,FDXPMYGF,1.0,0.674202810852768,False,False,0.012865497076023392
FDXPMYGF,XIIEJNEE,1.0,0.6797553694503664,False,False,0.012865497076023392
JSLXRQOK,UGEQLMXM,1.0,0.6799126623558464,False,False,0.012865497076023392
LLHREMKS,MIRCVAMV,1.0,0.6808251804844786,False,False,0.012865497076023392
DJBLNPNC,XIIEJNEE,1.0,0.6884889420935989,False,False,0.012865497076023392
RUVXNNVA,DNMPSKTB,1.0,0.6900727928409554,False,False,0.012865497076023392
LLHREMKS,DNMPSKTB,5.0,0.6903992560884766,False,False,0.012865497076023392
UGEQLMXM,KFQSHBNH,1.0,0.6914256814409736,False,False,0.012865497076023392
JSLXRQOK,XUOIQPFL,4.0,0.6938825348682068,False,False,0.012865497076023392
RUVXNNVA,QSDCUCLB,1.0,0.6973771709529131,False,False,0.012865497076023392
QSDCUCLB,BSRMSVTC,3.0,0.6992114272119767,False,False,0.012865497076023392
DNMPSKTB,JSLXRQOK,1.0,0.7057953809291602,False,False,0.012865497076023392
QSDCUCLB,RJCAXSGH,1.0,0.7097515750624649,False,False,0.012865497076023392
RUVXNNVA,XUOIQPFL,1.0,0.7111165892889055,False,False,0.012865497076023392
LLHREMKS,JSLXRQOK,2.0,0.7122248068689183,False,False,0.012865497076023392
XIIEJNEE,FDXPMYGF,1.0,0.712728351664821,False,False,0.012865497076023392
DJBLNPNC,KFQSHBNH,3.0,0.7168860129752324,False,False,0.012865497076023392
IGDVVKUD,KFQSHBNH,1.0,0.7173876669999995,False,False,0.012865497076023392
MIRCVAMV,LLHREMKS,4.0,0.7213830670368726,False,False,0.012865497076023392
RUVXNNVA,DJBLNPNC,1.0,0.7216425624852402,False,False,0.012865497076023392
FDXPMYGF,LLHREMKS,1.0,0.7229534625747287,False,False,0.012865497076023392
RJCAXSGH,JSLXRQOK,1.0,0.7268268202323656,False,False,0.012865497076023392
RJCAXSGH,MIRCVAMV,1.0,0.7277353082288063,False,False,0.012865497076023392
QRKRBYJL,RUVXNNVA,3.0,0.7293519500248598,False,False,0.012865497076023392
QRKRBYJL,JSLXRQOK,2.0,0.7299399911222706,False,False,0.012865497076023392
MIRCVAMV,XIIEJNEE,2.0,0.7299920182648184,False,False,0.012865497076023392
IGDVVKUD,RUVXNNVA,1.0,0.7323832276639411,False,False,0.012865497076023392
ATLDMDBO,JSLXRQOK,1.0,0.7330365266764107,False,False,0.012865497076023392
RUVXNNVA,BSRMSVTC,2.0,0.7372598158330741,False,False,0.012865497076023392
VBYCLTYZ,BSRMSVTC,5.0,0.739368603705572,False,False,0.012865497076023392
RUVXNNVA,IGDVVKUD,1.0,0.7397421523597898,False,False,0.012865497076023392
