item_x,item_y,optimal_lag,max_ccf,abs_ccf,is_significant
AANGBULD,ZGJXVMNI,3,0.5826720942975723,0.5826720942975723,True
APQGTRMF,QVLMOEYE,0,0.5812554794162974,0.5812554794162974,True
OGAFEHLU,XUOIQPFL,0,0.5809277745006435,0.5809277745006435,True
BUZIIBYG,NZKBIBNU,0,0.5794743885599839,0.5794743885599839,True
BTMOEMEP,QRKRBYJL,0,0.5786242323567937,0.5786242323567937,True
APQGTRMF,SDWAYPIK,1,0.5774416358630644,0.5774416358630644,True
SDWAYPIK,XUOIQPFL,0,0.5768368711222601,0.5768368711222601,True
GYHKIVQT,OKMBFVKS,0,0.5768306389967236,0.5768306389967236,True
SNHYOVBM,XIIEJNEE,3,0.5767142915919116,0.5767142915919116,True
ATLDMDBO,UXSPKBJR,0,0.5764388785337108,0.5764388785337108,True
AANGBULD,ELQGMQWE,1,0.5763492515066375,0.5763492515066375,True
QRKRBYJL,RCBZUSIM,0,0.57617683518209,0.57617683518209,True
WPQXWHYO,XIFHSOWQ,1,-0.5756780908859885,0.5756780908859885,True
ATLDMDBO,JPBRUTWP,2,0.5754563497180869,0.5754563497180869,True
QRKRBYJL,UXSPKBJR,1,0.5745003255174099,0.5745003255174099,True
NAQIHUKZ,NZKBIBNU,5,0.5741629694401041,0.5741629694401041,True
OKMBFVKS,QVLMOEYE,0,0.574126686017985,0.574126686017985,True
RJGPVEXX,ZGJXVMNI,1,0.5695756859085959,0.5695756859085959,True
LTOYKIML,MIRCVAMV,6,0.568249727394417,0.568249727394417,True
DJBLNPNC,SNHYOVBM,2,0.5677436792862892,0.5677436792862892,True
ANWUJOKX,GMBFCMIU,5,0.5669620143908803,0.5669620143908803,True
GYHKIVQT,UGEQLMXM,2,0.5664898600919885,0.5664898600919885,True
GMBFCMIU,OGAFEHLU,4,0.565598712341831,0.565598712341831,True
QVLMOEYE,UXSPKBJR,3,0.5648955554526518,0.5648955554526518,True
ATLDMDBO,HXYSSRXE,0,0.564883010623593,0.564883010623593,True
QRKRBYJL,XUOIQPFL,3,0.5644324518782541,0.5644324518782541,True
DNMPSKTB,OGAFEHLU,0,0.5638440236417436,0.5638440236417436,True
OXKURKXR,XUOIQPFL,2,0.5633758575531097,0.5633758575531097,True
KFQSHBNH,ZXERAXWP,1,0.5633503649173638,0.5633503649173638,True
QRKRBYJL,UGEQLMXM,2,0.5632064295096034,0.5632064295096034,True
OKMBFVKS,VBYCLTYZ,0,0.563000347083056,0.563000347083056,True
EVBVXETX,SAHWCZNH,0,-0.562513190339309,0.562513190339309,True
ANWUJOKX,QVLMOEYE,0,0.5622186393738029,0.5622186393738029,True
OKMBFVKS,ROACSLMG,0,0.561797065081041,0.561797065081041,True
ELQGMQWE,LLHREMKS,5,0.5611995271427109,0.5611995271427109,True
ANWUJOKX,XIIEJNEE,2,0.5595831832485569,0.5595831832485569,True
BSRMSVTC,HXYSSRXE,5,0.5593162638342182,0.5593162638342182,True
JSLXRQOK,OXKURKXR,2,0.5591973385435528,0.5591973385435528,True
APQGTRMF,QRKRBYJL,1,0.558997009557165,0.558997009557165,True
TANNMIMB,WQMVCOEM,6,0.5586409220719161,0.5586409220719161,True
AANGBULD,RJGPVEXX,3,0.558296980826487,0.558296980826487,True
OKMBFVKS,RAWUKQMJ,0,0.5578448257649657,0.5578448257649657,True
IGDVVKUD,ROACSLMG,2,0.5562087563757995,0.5562087563757995,True
KFQSHBNH,LLHREMKS,6,0.5547999862500036,0.5547999862500036,True
GYHKIVQT,VBYCLTYZ,2,0.5543926642947354,0.5543926642947354,True
APQGTRMF,JPBRUTWP,2,0.5538337374285868,0.5538337374285868,True
NZKBIBNU,RJGPVEXX,0,0.5534578348277234,0.5534578348277234,True
HXYSSRXE,QVLMOEYE,6,0.5523378988887471,0.5523378988887471,True
WBLJNPZQ,XUOIQPFL,0,0.5520897243624374,0.5520897243624374,True
ANWUJOKX,UIFPPCLR,2,0.5518720004651676,0.5518720004651676,True
BTMOEMEP,XUOIQPFL,0,0.5517891334407398,0.5517891334407398,True
ELQGMQWE,RJCAXSGH,0,0.5517031149408571,0.5517031149408571,True
ANWUJOKX,ATLDMDBO,3,0.5516869469654573,0.5516869469654573,True
AXULOHBQ,VBYCLTYZ,5,0.5502433791045699,0.5502433791045699,True
DNMPSKTB,SDWAYPIK,0,0.5502429448222831,0.5502429448222831,True
LLHREMKS,SAAYMURU,0,0.5499439186423671,0.5499439186423671,True
IGDVVKUD,VBYCLTYZ,2,0.5497070629292707,0.5497070629292707,True
JPBRUTWP,OGAFEHLU,2,0.5495828375700039,0.5495828375700039,True
APQGTRMF,ATLDMDBO,0,0.548978949059031,0.548978949059031,True
VBYCLTYZ,XUOIQPFL,2,0.5482780112515584,0.5482780112515584,True
BUZIIBYG,ROACSLMG,0,0.5466378713747195,0.5466378713747195,True
BTMOEMEP,VBYCLTYZ,3,0.5463591130475258,0.5463591130475258,True
TANNMIMB,TGOELCAG,3,0.5457849941188563,0.5457849941188563,True
JPBRUTWP,ROACSLMG,0,0.54547615484335,0.54547615484335,True
ELQGMQWE,RUVXNNVA,6,0.5440714064129974,0.5440714064129974,True
HXYSSRXE,QRKRBYJL,5,0.5436141250261098,0.5436141250261098,True
AXULOHBQ,GMBFCMIU,5,0.5429140668173188,0.5429140668173188,True
ELQGMQWE,JBVHSUWY,3,-0.542731981635345,0.542731981635345,True
BTMOEMEP,XIIEJNEE,5,0.542429264351122,0.542429264351122,True
SAHWCZNH,XIFHSOWQ,0,0.5420001682381023,0.5420001682381023,True
PYZMVUWD,TANNMIMB,2,0.540923244265504,0.540923244265504,True
OKMBFVKS,RJCAXSGH,0,-0.5398549080402493,0.5398549080402493,True
LPHPPJUG,QRKRBYJL,5,-0.5385109000853157,0.5385109000853157,True
HCDTGMST,PLMZALFA,0,0.5384140104765279,0.5384140104765279,True
BLANHGYY,VBYCLTYZ,5,0.5383159147636257,0.5383159147636257,True
BTMOEMEP,GMBFCMIU,3,0.5382753771693326,0.5382753771693326,True
LRVGFDFM,QRKRBYJL,0,0.538225562961072,0.538225562961072,True
OKMBFVKS,ZKENOUDA,1,-0.5380887126008582,0.5380887126008582,True
ATLDMDBO,WBLJNPZQ,0,0.5374471850601581,0.5374471850601581,True
AXULOHBQ,RAWUKQMJ,4,0.5370745327125586,0.5370745327125586,True
DJBLNPNC,VBYCLTYZ,3,0.5363474167107419,0.5363474167107419,True
EVBVXETX,FQCLOEXA,3,0.5363092399040712,0.5363092399040712,True
APQGTRMF,DEWLVASR,2,-0.5354522772591168,0.5354522772591168,True
KEUWZRKO,PLMZALFA,0,0.5347625078850582,0.5347625078850582,True
OGAFEHLU,QRKRBYJL,0,0.5347624874136736,0.5347624874136736,True
BSRMSVTC,PYZMVUWD,0,0.534545574830326,0.534545574830326,True
KEUWZRKO,VMAQSTJE,1,0.5343646845433105,0.5343646845433105,True
DBWLZWNK,OGAFEHLU,2,0.5342191338196233,0.5342191338196233,True
HXYSSRXE,WBLJNPZQ,1,0.533896140746219,0.533896140746219,True
FITUEHWN,GIKPEWTY,4,0.5336478502413137,0.5336478502413137,True
FWUCPMMW,KAGJCHMR,4,0.5334551557689009,0.5334551557689009,True
KFQSHBNH,ZKENOUDA,0,0.5331376299582012,0.5331376299582012,True
LUENUFGA,PLMZALFA,2,0.532802290659015,0.532802290659015,True
LUENUFGA,NZKBIBNU,3,-0.5322104054706249,0.5322104054706249,True
NZKBIBNU,WPQXWHYO,0,0.5311836274096899,0.5311836274096899,True
DBWLZWNK,UGEQLMXM,1,0.5309190120854657,0.5309190120854657,True
OKMBFVKS,SDWAYPIK,2,0.530808200595498,0.530808200595498,True
FQCLOEXA,HXYSSRXE,3,-0.5307733175844636,0.5307733175844636,True
HCDTGMST,TGOELCAG,0,0.5303176583197381,0.5303176583197381,True
FWUCPMMW,GMBFCMIU,3,0.5302139094131902,0.5302139094131902,True
EVBVXETX,XIFHSOWQ,0,-0.5301562766177742,0.5301562766177742,True
ATLDMDBO,ZGJXVMNI,0,-0.5288313668424064,0.5288313668424064,True
RCBZUSIM,UXSPKBJR,6,0.5279541703325291,0.5279541703325291,True
MIRCVAMV,TANNMIMB,5,0.5274082389754378,0.5274082389754378,True
LSOIUSXD,UGEQLMXM,1,0.5272386227972008,0.5272386227972008,True
DEWLVASR,ZGJXVMNI,3,0.5270818042477659,0.5270818042477659,True
QVLMOEYE,RCBZUSIM,0,0.5264547883117516,0.5264547883117516,True
DEWLVASR,DNMPSKTB,0,-0.5263491403720302,0.5263491403720302,True
AANGBULD,VUAFAIYJ,0,0.5253070541797616,0.5253070541797616,True
ANWUJOKX,QSDCUCLB,2,0.5240056971922303,0.5240056971922303,True
FDXPMYGF,QRKRBYJL,6,0.5236526997363163,0.5236526997363163,True
DEWLVASR,RJCAXSGH,0,0.5229023741731674,0.5229023741731674,True
QSDCUCLB,UGEQLMXM,0,0.522846261392966,0.522846261392966,True
OXKURKXR,VBYCLTYZ,0,0.5227500669753623,0.5227500669753623,True
EVBVXETX,NZKBIBNU,0,0.5224716865540157,0.5224716865540157,True
AANGBULD,GYHKIVQT,2,-0.5222595346213185,0.5222595346213185,True
FWUCPMMW,XIIEJNEE,5,0.5221567481476157,0.5221567481476157,True
KFQSHBNH,KJNSOAHR,0,0.5214288518225844,0.5214288518225844,True
GMBFCMIU,XUOIQPFL,4,0.5210551953549496,0.5210551953549496,True
BTMOEMEP,DNMPSKTB,0,0.5205071670081762,0.5205071670081762,True
ANWUJOKX,DJBLNPNC,2,0.5204244655665933,0.5204244655665933,True
RJCAXSGH,ZKENOUDA,0,0.5203986970205008,0.5203986970205008,True
ATLDMDBO,RCBZUSIM,1,0.5197198310965488,0.5197198310965488,True
HXYSSRXE,SDWAYPIK,5,0.5197178488630539,0.5197178488630539,True
DEWLVASR,SDWAYPIK,1,-0.5183798754413255,0.5183798754413255,True
DNMPSKTB,QRKRBYJL,0,0.5183113858618733,0.5183113858618733,True
RJCAXSGH,ZCELVYQU,3,0.5181061783814864,0.5181061783814864,True
CCLHWFWF,MIRCVAMV,2,0.5178292377241589,0.5178292377241589,True
BEZYMBBT,UXSPKBJR,0,0.5175565290928107,0.5175565290928107,True
FDXPMYGF,RCBZUSIM,5,0.5175054685486898,0.5175054685486898,True
DNMPSKTB,ZGJXVMNI,0,-0.51733278003361,0.51733278003361,True
DJBLNPNC,QVLMOEYE,3,0.5163367837643246,0.5163367837643246,True
GKQIJYDH,NAQIHUKZ,6,0.515932192172753,0.515932192172753,True
UIFPPCLR,ZXERAXWP,1,-0.5156663271046575,0.5156663271046575,True
CCLHWFWF,GIKPEWTY,2,0.5151743872281559,0.5151743872281559,True
GYHKIVQT,XUOIQPFL,5,0.5150984538879197,0.5150984538879197,True
EVBVXETX,VBYCLTYZ,0,0.5147496944697402,0.5147496944697402,True
BTMOEMEP,IGDVVKUD,1,0.5146182999631871,0.5146182999631871,True
XIIEJNEE,XUOIQPFL,2,0.5143227235245393,0.5143227235245393,True
GYHKIVQT,RJGPVEXX,1,-0.5139417476842483,0.5139417476842483,True
AXULOHBQ,GYHKIVQT,2,0.5139193339472552,0.5139193339472552,True
SDWAYPIK,ZKENOUDA,0,-0.5133790480350153,0.5133790480350153,True
ANWUJOKX,OGAFEHLU,4,0.5130251415251279,0.5130251415251279,True
QSDCUCLB,XUOIQPFL,1,0.512977302170325,0.512977302170325,True
LPHPPJUG,SDWAYPIK,4,-0.5127918786192506,0.5127918786192506,True
HXYSSRXE,UGEQLMXM,5,0.5121417563827112,0.5121417563827112,True
LUENUFGA,WPQXWHYO,1,-0.5121106896724211,0.5121106896724211,True
RJCAXSGH,VUAFAIYJ,6,0.5118124045067661,0.5118124045067661,True
JERHKLYW,PLMZALFA,1,0.5099077446655988,0.5099077446655988,True
RJGPVEXX,WPQXWHYO,3,0.5095916823791428,0.5095916823791428,True
OKMBFVKS,QRKRBYJL,0,0.5093437688781879,0.5093437688781879,True
RAWUKQMJ,XUOIQPFL,4,0.509305569302952,0.509305569302952,True
APQGTRMF,UXSPKBJR,2,0.5090233009424443,0.5090233009424443,True
DNMPSKTB,WBLJNPZQ,0,0.5079907776025199,0.5079907776025199,True
SDWAYPIK,ZGJXVMNI,2,-0.5068024703231917,0.5068024703231917,True
RCBZUSIM,VBYCLTYZ,3,0.5067214883113569,0.5067214883113569,True
ATLDMDBO,GYHKIVQT,0,0.5053269090553404,0.5053269090553404,True
WHPUAOID,XIIEJNEE,6,0.5053247547382699,0.5053247547382699,True
QSDCUCLB,UIFPPCLR,0,0.5043751240543181,0.5043751240543181,True
JPBRUTWP,XUOIQPFL,2,0.5040770334691784,0.5040770334691784,True
FTSVTTSR,NZKBIBNU,6,0.5033046179280388,0.5033046179280388,True
RJCAXSGH,ZXERAXWP,1,0.503296733374455,0.503296733374455,True
HXYSSRXE,XUOIQPFL,0,0.5030916575756574,0.5030916575756574,True
DBWLZWNK,XUOIQPFL,3,0.5027136439350948,0.5027136439350948,True
OKMBFVKS,VMAQSTJE,0,0.5013298262094297,0.5013298262094297,True
FTSVTTSR,LTOYKIML,4,0.5012949632525151,0.5012949632525151,True
AXULOHBQ,BLANHGYY,0,0.5011809036610781,0.5011809036610781,True
FWUCPMMW,LTOYKIML,0,0.5010882317185841,0.5010882317185841,True
DDEXPPXU,LPHPPJUG,2,0.5009714833486582,0.5009714833486582,True
ELQGMQWE,GYHKIVQT,1,-0.5007695132948715,0.5007695132948715,True
FTSVTTSR,FWUCPMMW,4,0.5007190391917143,0.5007190391917143,True
LSOIUSXD,WBLJNPZQ,5,0.5004054999368709,0.5004054999368709,True
FQCLOEXA,GYHKIVQT,3,-0.5001482773957774,0.5001482773957774,True
HCDTGMST,VMAQSTJE,0,0.49936497707568567,0.49936497707568567,False
BSRMSVTC,GIKPEWTY,2,0.49877189931541704,0.49877189931541704,False
APQGTRMF,RJCAXSGH,0,-0.4984674969604806,0.4984674969604806,False
CCLHWFWF,WBLJNPZQ,3,0.4984065589356607,0.4984065589356607,False
KJNSOAHR,ZKENOUDA,2,0.49814259443332676,0.49814259443332676,False
ANWUJOKX,UXSPKBJR,3,0.49808893199895826,0.49808893199895826,False
ANWUJOKX,QRKRBYJL,2,0.4980082406448746,0.4980082406448746,False
ELQGMQWE,KFQSHBNH,0,0.49794737593911403,0.49794737593911403,False
VUAFAIYJ,WBLJNPZQ,4,-0.4979295399671288,0.4979295399671288,False
RJCAXSGH,UIFPPCLR,1,-0.4974389482880203,0.4974389482880203,False
DNMPSKTB,QVLMOEYE,6,0.4974104448815215,0.4974104448815215,False
RCBZUSIM,SDWAYPIK,3,0.49739027886676845,0.49739027886676845,False
EVBVXETX,GYHKIVQT,6,-0.49686144534889426,0.49686144534889426,False
LUENUFGA,TGOELCAG,5,0.49678564246436935,0.49678564246436935,False
HXYSSRXE,RAWUKQMJ,1,0.49668595785710556,0.49668595785710556,False
BLANHGYY,LLHREMKS,6,0.49646810700178834,0.49646810700178834,False
DUCMGGNW,FRHNWLNI,0,0.4961097920329515,0.4961097920329515,False
QJQJSWFU,RJGPVEXX,0,-0.4951914768567332,0.4951914768567332,False
DBWLZWNK,LRVGFDFM,3,0.4946621197461586,0.4946621197461586,False
FDXPMYGF,FWUCPMMW,3,0.49463208500857575,0.49463208500857575,False
PLMZALFA,VMAQSTJE,1,0.49441630890686916,0.49441630890686916,False
EVBVXETX,ROACSLMG,0,0.49425687426587933,0.49425687426587933,False
FDXPMYGF,GIKPEWTY,0,0.49390820966794663,0.49390820966794663,False
DJBLNPNC,FWUCPMMW,0,0.49360126550834776,0.49360126550834776,False
JPBRUTWP,UGEQLMXM,3,0.4932715361219149,0.4932715361219149,False
HXYSSRXE,ZGJXVMNI,0,-0.4932269352265476,0.4932269352265476,False
KEUWZRKO,TGOELCAG,1,0.49307003915209335,0.49307003915209335,False
IGDVVKUD,UXSPKBJR,2,0.49249327102267526,0.49249327102267526,False
BUZIIBYG,OKMBFVKS,0,0.4924570226927683,0.4924570226927683,False
QRKRBYJL,ZGJXVMNI,0,-0.4909748359156035,0.4909748359156035,False
KJNSOAHR,RJCAXSGH,0,0.4900021207322376,0.4900021207322376,False
PLMZALFA,PYZMVUWD,0,0.48996752059276166,0.48996752059276166,False
ATLDMDBO,IGDVVKUD,0,0.4893370984959566,0.4893370984959566,False
FQCLOEXA,NZKBIBNU,0,0.4892740228347991,0.4892740228347991,False
KEUWZRKO,RJGPVEXX,1,-0.4891967273009354,0.4891967273009354,False
NZKBIBNU,SAHWCZNH,1,-0.4888745000255375,0.4888745000255375,False
DEWLVASR,GYHKIVQT,1,-0.4881788887771795,0.4881788887771795,False
QRKRBYJL,WBLJNPZQ,1,0.4876841837596639,0.4876841837596639,False
OXKURKXR,UXSPKBJR,0,0.4873520331481505,0.4873520331481505,False
APQGTRMF,OXKURKXR,4,0.48694232449512603,0.48694232449512603,False
BSRMSVTC,BTMOEMEP,5,0.48674359466897293,0.48674359466897293,False
RCBZUSIM,XIIEJNEE,3,0.48667298396868924,0.48667298396868924,False
SDWAYPIK,UXSPKBJR,1,0.48646230191147793,0.48646230191147793,False
BTMOEMEP,UGEQLMXM,5,0.4861943606387048,0.4861943606387048,False
APQGTRMF,UGEQLMXM,3,0.48607939426692537,0.48607939426692537,False
BLANHGYY,ZCELVYQU,4,0.4859455548331208,0.4859455548331208,False
DBWLZWNK,SDWAYPIK,1,0.48550588431413083,0.48550588431413083,False
ANWUJOKX,VBYCLTYZ,0,0.48503958858803525,0.48503958858803525,False
AANGBULD,LLHREMKS,6,0.4848506178118199,0.4848506178118199,False
HXYSSRXE,VBYCLTYZ,2,0.4845677389502881,0.4845677389502881,False
FRHNWLNI,WQMVCOEM,0,0.48390476621572454,0.48390476621572454,False
OKMBFVKS,XUOIQPFL,3,0.4838265187280888,0.4838265187280888,False
FWUCPMMW,GKQIJYDH,3,0.48381054299141424,0.48381054299141424,False
GKQIJYDH,ZCELVYQU,0,0.4831688793913034,0.4831688793913034,False
LPHPPJUG,QVLMOEYE,3,-0.48241123735890756,0.48241123735890756,False
GYHKIVQT,RJCAXSGH,0,-0.4821860657988476,0.4821860657988476,False
FTSVTTSR,JBVHSUWY,3,0.4820444562488879,0.4820444562488879,False
LLHREMKS,LTOYKIML,6,0.48166372997582707,0.48166372997582707,False
JSLXRQOK,NZKBIBNU,3,0.48153358912198824,0.48153358912198824,False
AXULOHBQ,HXYSSRXE,2,0.4815087428513193,0.4815087428513193,False
SAAYMURU,XIIEJNEE,5,0.48115450249086905,0.48115450249086905,False
ATLDMDBO,OGAFEHLU,0,0.48074003273297033,0.48074003273297033,False
BEZYMBBT,SDWAYPIK,3,0.4807151508192624,0.4807151508192624,False
KAGJCHMR,RUVXNNVA,3,0.480575981759428,0.480575981759428,False
BEZYMBBT,OXKURKXR,1,0.4804558448155071,0.4804558448155071,False
VWMBASNE,XUOIQPFL,6,0.4800524036693635,0.4800524036693635,False
LPHPPJUG,VBYCLTYZ,5,-0.4800369038658054,0.4800369038658054,False
UIFPPCLR,ZKENOUDA,0,-0.4800014585986459,0.4800014585986459,False
SAHWCZNH,UXSPKBJR,0,-0.47977872377390457,0.47977872377390457,False
